"company_name","description","goal","outcome","category_name","subcategory_name"
"Odom Inc","Managed bottom-line architecture","1400.00","successful","music","rock"
"Melton, Robinson and Fritz","Function-based leadingedge pricing structure","108400.00","successful","technology","web"
"Harris Group","Open-source optimizing database","7600.00","successful","theater","plays"
"Carter-Guzman","Centralized cohesive challenge","4500.00","successful","theater","plays"
"Green Ltd","Monitored empowering installation","5200.00","successful","film & video","drama"
"Walker, Taylor and Coleman","Multi-tiered directional open architecture","4200.00","successful","music","indie rock"
"Hines Inc","Cross-platform systemic adapter","1700.00","successful","publishing","nonfiction"
"Cochran-Nguyen","Seamless 4thgeneration methodology","84600.00","successful","film & video","animation"
"Reeves, Thompson and Richardson","Proactive composite alliance","131800.00","successful","film & video","drama"
"Collier Inc","Enhanced dynamic definition","59100.00","successful","theater","plays"
"Gray-Jenkins","Devolved next generation adapter","4500.00","successful","film & video","documentary"
"Scott, Wilson and Martin","Cross-platform intermediate frame","92400.00","successful","technology","wearables"
"Caldwell, Velazquez and Wilson","Monitored impactful analyzer","5500.00","successful","games","video games"
"Campbell, Brown and Powell","Synchronized global task-force","130800.00","successful","theater","plays"
"Johnson, Parker and Haynes","Focused 6thgeneration forecast","45900.00","successful","film & video","shorts"
"Clark-Cooke","Down-sized analyzing challenge","9000.00","successful","film & video","animation"
"Schroeder Ltd","Progressive needs-based focus group","3500.00","successful","games","video games"
"Blair, Collins and Carter","Exclusive interactive approach","50200.00","successful","theater","plays"
"Maldonado and Sons","Reverse-engineered asynchronous archive","9300.00","successful","film & video","documentary"
"Mitchell and Sons","Synergized intangible challenge","125500.00","successful","film & video","drama"
"Jackson-Lewis","Monitored multi-state encryption","700.00","successful","theater","plays"
"Black, Armstrong and Anderson","Profound attitude-oriented functionalities","8100.00","successful","publishing","fiction"
"Maldonado-Gonzalez","Digitized client-driven database","3100.00","successful","photography","photography books"
"Garcia, Garcia and Lopez","Reduced stable middleware","8800.00","successful","technology","wearables"
"Watts Group","Universal 5thgeneration neural-net","5600.00","successful","music","rock"
"Werner-Bryant","Virtual uniform frame","1800.00","successful","food","food trucks"
"Schmitt-Mendoza","Profound explicit paradigm","90200.00","successful","publishing","radio & podcasts"
"Reid-Mccullough","Visionary real-time groupware","1600.00","successful","publishing","fiction"
"Vaughn, Hunt and Caldwell","Virtual grid-enabled task-force","3700.00","successful","music","rock"
"Bennett and Sons","Function-based multi-state software","1500.00","successful","theater","plays"
"Lamb Inc","Optimized leadingedge concept","33300.00","successful","theater","plays"
"Casey-Kelly","Sharable holistic interface","7200.00","successful","music","rock"
"Smith-Jones","Reverse-engineered static concept","8800.00","successful","film & video","drama"
"Wright, Brooks and Villarreal","Reverse-engineered bifurcated strategy","6600.00","successful","music","jazz"
"Flores, Miller and Johnson","Horizontal context-sensitive knowledge user","8000.00","successful","technology","wearables"
"Bridges, Freeman and Kim","Cross-group multi-state task-force","2900.00","successful","games","video games"
"Anderson-Perez","Expanded 3rdgeneration strategy","2700.00","successful","theater","plays"
"Wright, Fox and Marks","Assimilated real-time support","1400.00","successful","theater","plays"
"Crawford-Peters","User-centric regional database","94200.00","successful","theater","plays"
"Sparks-West","Organized incremental standardization","2000.00","successful","technology","web"
"Berry-Boyer","Mandatory incremental projection","6100.00","successful","theater","plays"
"Lopez Inc","Team-oriented 6thgeneration middleware","72600.00","successful","technology","wearables"
"Moreno-Turner","Inverse multi-tasking installation","5700.00","successful","theater","plays"
"Barker Inc","Re-engineered 24/7 task-force","128000.00","successful","theater","plays"
"Tate, Bass and House","Organic object-oriented budgetary management","6000.00","successful","theater","plays"
"Hampton, Lewis and Ray","Seamless coherent parallelism","600.00","successful","film & video","animation"
"Collins-Goodman","Cross-platform even-keeled initiative","1400.00","successful","music","jazz"
"Davis-Michael","Progressive tertiary framework","3900.00","successful","music","metal"
"White, Torres and Bishop","Multi-layered dynamic protocol","9700.00","successful","photography","photography books"
"Montgomery, Larson and Spencer","User-centric bifurcated knowledge user","4500.00","successful","publishing","translations"
"Sutton, Barrett and Tucker","Cross-platform needs-based approach","1100.00","successful","games","video games"
"Gomez, Bailey and Flores","User-friendly static contingency","16800.00","successful","music","rock"
"Porter-George","Reactive content-based framework","1000.00","successful","games","video games"
"Cisneros-Burton","Public-key zero tolerance orchestration","31400.00","successful","technology","wearables"
"Hill, Lawson and Wilkinson","Multi-tiered eco-centric architecture","4900.00","successful","music","indie rock"
"Davis-Smith","Organic motivating firmware","7400.00","successful","theater","plays"
"Clark Group","Grass-roots fault-tolerant policy","4800.00","successful","publishing","translations"
"White, Singleton and Zimmerman","Monitored scalable knowledgebase","3400.00","successful","theater","plays"
"Santos, Bell and Lloyd","Object-based analyzing knowledge user","20000.00","successful","games","video games"
